postJob,company,city_state,date,descrip,dateColect,country,url
Marine Ocean Scientist/Environmental Engineer, RPS Group, – Gold Coast, 7 days ago," Company DescriptionRPS is a global network of professionals who provide world-class consultancy solutions in energy, resources, mining, infrastructure, environment and urban growth.Job DescriptionThe RPS Ocean Science and Technology division has an opening for a self-motivated marine scientist or oceanographer to collaborate in a wide range of marine projects with a focus on environmental modelling, and data analysis. Our projects range from dredging impact studies, oil spill risk assessments, search and rescue support, thermal dispersion studies, water quality studies and wave condition assessments. We offer training and experience in the use of advanced models to meet a wide range of practical applications and aim to support the advancement of your career.QualificationsApplicants should have:A degree in Ocean Science, Environmental Engineering, Mathematic, Computer Science or a related discipline.2-5 years of experience and evidence of a strong theoretical and practical background in areas such as coastal hydrodynamic and wave theory and modelling, coastal engineering or science, physical oceanography or coastal marine science.Experience using Delft3d or similar three dimensional hydrodynamic and advanced wave models is required.The ability to use advanced data analysis and visualisation tools such as Matlab/Python at an advanced level.Skills in GIS will be considered favourably.Additional InformationWe are searching for someone with a strong motivation to contribute in a team-based working environment, ability to demonstrate strong written and verbal communication skills together with excellent time management abilities. If this sounds like you please apply to join our team!",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=4120&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_93712e6c&cb=1516666741917&jobListingId=2616225070
Research Scientist - Transport Analytics, Commonwealth Scientific and Industrial Research Organisation, – Clayton, 5 days ago,"Apply your expertise in a dynamic, professioanl environmentWork with one of the top 5 world-leading research groups in its leagueJoin CSIRO's Data61 and help create our data driven futureThe position CSIRO's Data61 has an outstanding opportunity for an innovative researcher with highly developed mathematical expertise to join their Advanced Data Analytics in Transport Team.  At Data61 we bring together exceptional people from research and industry to create an ICT research Centre of Excellence in Australia. The Advanced Data Analytics in Transport (ADAIT) is a prestigious research and development team of Data61. The ADAIT team resides in the Analytics Program at Data61, one of the Top 5 world-leading research groups in its league.  The team is engaged with Transport for NSW on an innovation program to develop a transport data analytics platform (referred to as the ADAIT Platform) for urban transport management. The ADAIT Platform aims to break the fragmented data view of the urban transport system, and establish an integrated data management and analytic capability. The platform is intended to provide analytics-as-a-service to end-users and capable of leveraging distributed data storage and cloud computing facilities. Additional information on the ADAIT team can be found at: www.adait.io  In this role you will draw on your professional expertise and research experience to develop and deploy predictive models for the operations of multi-modal transport, intelligent mobility services and transport network management. More specifically you will:Propose innovations and publish research papers on work related subjects.Design, develop and maintain predictive machine learning models.Design, develop and maintain software and toolkits in raw data analytics, model calibration, model verification and visualization.Integrate machine learning models into the ADAIT platform.Location: Eveleigh, Sydney NSW Salary: $95K - $103K plus up to 15.4% superannuation Tenure: Indefinite Job reference: 52820 To be successful you will need:A doctorate or equivalent research experience in a relevant discipline area, such as mathematics, computer science, machine learning, artificial intelligence and transportation science. A minimum of three years experience working as a postdoc researcher, research scientist or junior academic staff on related subjects. A solid record of publication in quality, peer reviewed journals. High proficiency in advanced mathematics including constraint programming, graph theory, stochastic process and Bayesian inference. A proven record of applying mathematical solutions to machine learning problems, e.g. Behavioural Modelling, Natural Language Processing, Image Processing or Recommendation Systems. Strong programming skills in either C++, Java, Python, R, or MATLAB.Before you apply please view the full position details and selection criteria here: Position description About us: The Commonwealth Scientific and Industrial Research Organisation (CSIRO) We imagine. We collaborate. We innovate. At CSIRO, we do the extraordinary every day. We innovate for tomorrow and help improve today – for our customers, all Australians and the world. We do this by using science and technology to solve real issues. Diversity is the compass that navigates our innovation. We provide an inclusive workplace that respects, values and actively pursues the benefits of a diverse workforce.  We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Find out more! CSIRO Balance About Data61: In today’s data-focused world, there’s no doubt that numbers count. Data61 are the largest data innovation group in Australia, a connector that brings together technology innovators, businesses and universities to transform Australian industry and to help solve our greatest challenges. A CSIRO business, we are creating our data-driven future. How to apply: If you wish to apply for this position, please upload 1 document only containing your resume that best demonstrates your ability to meet the requirements of the role as defined in the Position description document. Applications close: 11:59pm AEDT, 29 January 2018",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=4120&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d8bedfc&cb=1516666741918&jobListingId=2617267214
Quality Control Scientist,NA,--, 3 days ago,"Requisition ID: LAB000778  MSD is a global health care leader with a diversified portfolio of prescription medicines, vaccines and animal health products. Today, we are building a new kind of healthcare company – one that is ready to help create a healthier future for all of us.  Our ability to excel depends on the integrity, knowledge, imagination, skill, diversity and teamwork of an individual like you. To this end, we strive to create an environment of mutual respect, encouragement and teamwork. As part of our global team, you’ll have the opportunity to collaborate with talented and dedicated colleagues while developing and expanding your career.THE OPPORTUNITY Due to an internal promotion, MSD Animal Health is seeking two Quality Control Scientists to join the team at Bendigo on a 6 or 12 month max term contract. Working within this diverse working environment, you will have the opportunity to ensure product quality conforms to regulations and guidelines outlined in Good Manufacturing Procedures (GMP). Key responsibilities of the role include: Plan and execute Quality Control testing of intermediate/finish productsEnsuring testing is performed in accordance with standard operating procedures, guaranteeing accuracy, quality and timely output of work.Recording and reporting of test results with accurate data entryRaise and execute investigations out of specification or out of trend results, including design and execution of Corrective and Preventative ActionsDevelop and maintain documentation and records in accordance with GMP and company requirementsParticipating in continual improvement activities and new product introductions within the laboratoryQualificationsABOUT YOU As you will be working in a highly regulated environment, your success will be determined by your ability to demonstrate: A tertiary or equivalent qualification in a science discipline (microbiology and/or immunology preferred).Experience working with aseptic techniques in a GMP laboratory environment (desirable)Knowledge of APVMA and other regulatory bodies’ requirements is advantageous.Great attention to detail with highly developed scientific problem solving skillsStrong written and verbal communication skillsSound project management skills with ability to initiate and complete project outcomes within given timeframes.WORKING AT MSD ANIMAL HEALTH Our employees are the key to our company’s success. We demonstrate our commitment to our employees by offering a competitive and valuable rewards program. Our Company’s benefits are designed to support the wide range of goals, needs and lifestyles of our employees, and many of the people that matter the most in their lives. We work together to save and improve lives. Join us.  Apply now online for immediate consideration.  MSD is an equal opportunity employer - proudly embracing diversity in all of its manifestations.Job: Lab Operators Other Locations:Employee Status: Regular Travel:Number of Openings:Shift (if applicable):Hazardous Materials:Company Trade Name: MSD",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=55938&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_59806791&cb=1516666741919&jobListingId=2641647516
Environmental Scientist/Engineer, AECOM, – Adelaide, 12 days ago,"Business Line Environment Position Title Environmental Scientist/Engineer  Australia - South Australia  Adelaide Job Summary AECOM's Adelaide Environmental group is the lead provider of contaminated land assessment, impact assessment, and remediation services in SA. AECOM provides environmental services across all market sectors including oil and gas, defence, government, mining, manufacturing, energy, waste and land development. AECOM provides a flexible working environment for all staff and is an Equal Opportunity Employer.  A rewarding opportunity exists for a self-starting Environmental Scientist/Engineer in our Geoscience workgroup. The role will involve organising and conducting fieldwork programs and preparation of a variety of technical reports for contaminated land assessment and remediation projects. The role will include the opportunity to manage contaminated land and geoscience projects for a range of clients. Key Responsibilities include:Involvement in all stages of contaminated land projects, including site history investigations, analysing data gaps, sampling & analysis planning, field investigation of soil, waters and vapour, validating data, developing conceptual site models, supporting risk assessments, management plans and remedial worksDevelop and manage investigation programs.Schedule staff and project resources and be responsible for the supervision of all deliverables to meet timing and quality requirements in line with the project planProcessing, interpreting and reporting of field and laboratory data to meet best-practice industry guidelines, AECOM procedures and client expectationsProviding guidance and training to junior team membersMinimum RequirementsAppropriate tertiary qualification in geology, chemistry, environmental or related engineeringBetween 3-10 years relevant professional experience is required for the roleDemonstrated skills in managing project tasks and budgetsStrong report writing skills, including ability to evaluate and interpret data, draw conclusions and provide practical and defensible recommendationsDevelopment and enhancement of relationships with clients, AECOM staff and subcontractors through a strong focus on safety and client service.Working knowledge of national and SA contaminated land and environmental legislationFlexibility in hours of work and mobility to work throughout SA and interstate is desirablePreferred Qualifications.What We Offer AECOM is a place where you can put your innovative thinking and business skills into high gear and work alongside other highly intelligent and motivated people. It's a place where you can apply your skills to some of the world's most challenging, interesting, and meaningful projects worldwide. It's a place that values the diversity of our areas of practice and our people. It's what makes AECOM a great place to work and grow. AECOM is an Equal Opportunity Employer. NOTICE TO THIRD PARTY AGENCIES: Please note that AECOM does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Recruitment Fee Agreement, AECOM will not consider or agree to payment of any referral compensation or recruiter fee. In the event a recruiter or agency submits a resume or candidate without a previously signed agreement, AECOM explicitly reserves the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of AECOM.Job CategoryEngineering - EnvironmentalCountryAustraliaPosition StatusFull-TimeRequisition/Vacancy No.174734BR",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=215939&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d9f780d&cb=1516666741920&jobListingId=2632032127
Indigenous Cadetship - Data Visualization, CSIRO, – Brisbane, 4 days ago,"Improve your professional employment prospectsCombine study with a paid work placement in your relevant fieldBe a part of Australia's leading science and research organisation The Indigenous Cadetship Program is an initiative of the CSIRO Indigenous Engagement Strategy, which seeks to significantly increase Indigenous employment nationally within CSIRO. Through this strategy, CSIRO aims to enhance the educational, employment, training and career development opportunities for people of Aboriginal and/or Torres Strait Islander descent.  Indigenous Cadetships may be offered to people of Australian Aboriginal and/or Torres Strait Islander descent who are enrolled for full-time study in their first undergraduate degree at an Australian University. Upon successful completion of the Cadetship, Cadets will be encouraged to apply for positions in CSIRO relevant to their qualification and skills.  Our cadetships offer a combination of full time study and work placements within CSIRO (usually completed during the long break at the end of each academic year) and provide: A study allowance of $300 per week during periods of full-time study (40 weeks)Financial assistance of $500 per semester to assist with study costs12 weeks of paid work placement during each year of the cadetshipPayment of HECS fees by CSIRO on successful completion of study An opportunity exists for a cadet to join the Agriculture and Food Business Unit in the Global Food and Nutrition Group. In this role you will learn to visualize agricultural data and design infographics and data visualizations in collaboration with agricultural scientist. Location: St Lucia, QLD Duration: Duration/remainder of full-time study program Salary: Study allowance of $300 during periods of full-time study +12 weeks of paid work placement during each year of the cadetship (starting at $590 per week before tax) Reference No: 46310 Pre-Requisites/Eligibility Indigenous Cadetships are open to students who are: of Australian Aboriginal and/or Torres Strait Islander descent; andcurrently enrolled for full-time study in their first undergraduate degree course at an Australian university.How to Apply: For further information and details on how to apply, please see the Position Details document.  Interested candidates will be required to provide an academic transcript (or confirmation of enrolment if not yet started), Confirmation of Aboriginal &/or Torres Strait Islander descent as well as a resume. About CSIRO: The Commonwealth Scientific and Industrial Research Organisation (CSIRO) is Australia’s national science agency. At CSIRO we shape the future. We do this by using science to solve real issues. Our research makes a difference to industry, people and the planet. Find out more at http://www.csiro.au/. Applications close: Applications will remain open until filled.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=55938&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_598624d9&cb=1516666741921&jobListingId=2642445557
Support Engineer / SAP BI & Analytics (Melb or ACT), SAP, – Melbourne, 5 days ago,"Requisition ID: 170148 Work Area: Customer Service and Support Expected Travel: 0 - 50% Career Status: Professional Employment Type: Regular Full Time COMPANY DESCRIPTION As market leader in enterprise application software, SAP helps companies of all sizes and industries innovate through simplification. From the back office to the boardroom, warehouse to storefront, on premise to cloud, desktop to mobile device – SAP empowers people and organizations to work together more efficiently and use business insight more effectively to stay ahead of the competition. SAP applications and services enable customers to operate profitably, adapt continuously, and grow sustainably. PURPOSE AND OBJECTIVES  The SAP Digital Business Services Centre of Expertise (CoE) is responsible for helping SAP’s Premium Engagement and Enterprise Support customers make the most of their investment in SAP software. The CoE is a global team and we are now looking to further expand the team in Australia.   As a market leader for business solutions, SAP offers you an ideal working environment for your professional and personal development. In addition to very attractive benefits, we offer a permanent contract of employment in Australia.   Our DBS Centre of Expertise team is looking for a Support Engineer for complex projects in the SAP BI & Analytics area EXPECTATIONS AND TASKS  You will be part of a highly motivated and skilled expert team responsible for delivering successful outcomes in customer projects and production operational areas.  CoE Support Engineers perform highly specialized remote and onsite services for SAP customers. Our goal is to enable customers to implement and operate their SAP solutions at their maximum potential and to manage their technical risks during solution implementation and operation. Provide first class remote and on-site support to our customers, including: Solving technical problemsOptimization of solution operationImprovement of system performance, availability and stabilitySupport in critical customer situations (going live, upgrade, etc.)Customer project evaluation and risk mitigation of implementation projectsBack office support for onsite service deliveryIncreasing overall customer satisfactionAct on escalated customers to bring their businesses to normal operationsReduce customer's TCO by Enterprise Support, ActiveEmbedded and MaxAttention Services.Applicants for this role will need to reside in Melbourne or Canberra and be able to meet the Australian Federal Government requirements for citizenship, nationality and security clearance EDUCATION AND QUALIFICATIONS / SKILLS AND COMPETENCIESTECHNICAL SKILLSDegree or qualification with relevant work experience.Various certifications supporting and demonstrating knowledge of SAPUnderstanding and experience of the Business Objects Platform Architecture, Universe Design, Administration, Monitoring, Security and Authentication.Expertise in SAP Data Services ETL implementations.Configuring interfaces for all levels of business users, participate in SAP Business Objects implementation, upgrade and support activities, provide expertise within the area of SAP Business Objects product suite.Experience in architecting end to end Reporting Solutions using SAP Reporting Tools (Design Studio, Predictive Analytics, Lumira, Analysis for Office, Crystal Reports and Web Intelligence)Experience in BI mobile implementation and reportingExpertise in C++ and/or Java programming language and with troubleshooting applications in different operating systems.Implement interfaces for SAP Business Intelligence and integrate them with SAP BW and SAP HANA solutionsContributing to critical global escalations and long term engagements for MaxAttention, and ActiveEmbedded customers.Analysis of system landscape and technical issues; assessment of core business processes and analysis of system and application operationAs part of a global team work closely with SAP Development and the Global Support Centers to assist our customers and find appropriate solutions. Work with cutting edge technologies within the SAP software solutions. FURTHER EXPERIENCE & SKILLS2 - 5+ years of functional and technology experience in SAP environmentAbility to effectively resolve/drive resolution of most complex problems that require creation of new and innovative approaches.Ability to work independently in complex customer situations.SAP HANA Training/Certification helpfulIndustry experience (Generic and industry-related process skills)Strong communication skillsExcellent communication skills in English Work Area: Customer Service and Support Expected Travel: 0 - 50% Career Status: Professional Employment Type: Regular Full Time Career Level: T2   SAP'S DIVERSITY COMMITMENT To harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company.  SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas: Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com). Requests for reasonable accommodation will be considered on a case-by-case basis. Additional Locations: Virtual - Australia",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=235296&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_05b8f60b&cb=1516666741923&jobListingId=2638617200
Senior Data Marketing Strategist, AKQA, – Melbourne, 12 days ago," At AKQA, we believe in the imaginative application of art and science to create beautiful ideas, products and services. With an entrepreneurial and collaborative approach, we design adaptive digital services and applications that capture the imagination, delivering impressive returns for our clients.  We are looking for a Senior Data Marketing Strategist with a strong communications strategy background. You are a proactive thought leader who loves learning, experimenting and exploring the possibilities of data-driven customer experiences. You have experience across a range of data marketing disciplines, including marketing automation/CRM customer journey planning, A/B testing/optimisation, and analytics and reporting. ROLE REQUIREMENTSDevelop data-driven customer communication strategies, including lifecycle campaigns to drive business performance.Identify opportunities to reach customers through emerging channels and work with the Engineering team to prototype and implement.Develop robust measurement frameworks and methodologies for clients to understand their ROI in marketing technologies.Run strategic A/B testing programmes using leading testing platforms such as Optimizely or Adobe Target.Advocate for data marketing within AKQA and to our client base, to further raise our profile within this area.Work closely with the Insights and Personalisation Lead to mentor other team members and evolve our service offering.QUALITIES AND CHARACTERISTICS4+ years of data marketing experience.Communications experience essential: this role requires a customer- and data-focused mindset.Experience of CRM/lifecycle planning, including segment identification, trigger definition, journey planning and testing.Experience in digital analytics: Google Analytics and/or Adobe Analytics preferred. Not a data scientist, but able to delve into data to find insights and confidently and clearly present to clients.Experience of A/B testing: create test frameworks, plan tests and be hands-on with the tool itself.Excellent stakeholder management across multiple clients and workstreams.Strong communicator: able to explain complex topics in a way that non-data-savvy people will understand.Experimental and proactive mindset: willing to push boundaries and secure quick wins to ensure buy-in for innovative work.Mentor other team members and educate wider AKQA team about data marketing.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=198645&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_864abfa0&cb=1516666741923&jobListingId=2632710013
Senior Software Engineer - Data, Atlassian, – Sydney, 5 days ago,"Company Description null Job Description Atlassian is looking for an experienced and talented Senior Software Engineer to join our Service Enablement Analytics Engineering team. Atlassian's Service Enablement team analyses data from a variety of sources, such as support tickets, product analytics and application logs, to understand the friction our customers are facing and work with our development teams to improve our applications. It will be your role to work with our Data Scientists and Analysts to build data pipelines, build machine learning systems to help our customers self-serve on support requests and build tooling to make our Support Engineers more effective and efficient at helping our customers. Qualifications You love data and want to share your expertise to help up skill the team in machine learning and working with huge data sets. Youre not afraid of and have experience in rolling up your sleeves to build data pipelines and can also work independently to build tools and systems with only a broad direction and basic requirements.  On your first day, we'll expect you to have: 5+ years of developer experienceFluency in Python and able to program in Java and/or ScalaMinimum of 2 years of experience in data engineering and working with systems through APIsFront-end development experienceReal passion for collaboration and strong interpersonal skillsBachelor's Degree in Computer Science or equivalent Helpful to have experience and focus in these areas: Experience with building micro-services.Experience with large distributed databases (HDFS, S3, Presto, Spark, etc)Advanced SQL ability with good practices for data validation of complex queries and ETL jobsFamiliarity with different approaches to Natural Language Processing (e.g. sentiment or other NLP classification methods)Experience in collecting, analysing, and synthesising results from various data sourcesStrong sense of accountability and understanding of privacy around user dataUnderstanding of machine learning approaches and applications to common business problemsMore about the team We challenge each other constantly to improve our work and ask hard questions. We're direct, focused, and demand excellence, but there's laughter in every meeting because we thoroughly enjoy the work we do and the impact it has. We're constantly growing, learning, adapting, and trying new things. More about our benefits Our offices are open, highly collaborative and yes, fun! To support you at work (and play) we offer some fantastic perks: ample time off to relax and recharge, five paid volunteer days a year for your favourite cause, plenty of food and drinks (including our famous 'Charlie's bar'), ergonomic workstations with sit/stand desks, unique ShipIt days, a company paid trip after five years and more. More about Atlassian Software is changing the world, and were at the center of it all. With a customer list that reads like a who's who in tech, and a highly disruptive business model, were advancing the art of team collaboration with products like Jira, Confluence, Bitbucket, Trello, and now Stride. Driven by honest values, an amazing culture, and consistent revenue growth, were out to unleash the potential of every team. From Amsterdam and Austin to Sydney and San Francisco, were looking for people who are powered by passion and eager to do the best work of their lives in a highly autonomous yet collaborative, no B.S. environment.  We believe that the unique contributions of all Atlassians is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=134644&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f36c9410&cb=1516666741924&jobListingId=2639081443
Data Analyst, Macquarie Group, – Sydney, 4 days ago,"About the role The Financial Management Group has a unique opportunity for a Data Analyst to help Macquarie make better data driven decisions and deliver a more informed, more agile Finance function. Key responsibilitiesdevelop an intimate understanding of the flow of data through the organisationcontribute to the design of the Macquarie data model and framework having regard for business and regulatory driverswork with IT to on board and embed tools that enable an analytical approach to datalead efforts to continually improve the quality of data across Finance platformsinterrogate and investigate the Data Warehouse to deliver an improved reporting & analysis toolkit, supporting strategic decision- making across the broader organisationAbout you To be successful in this Data Analyst role, you will need: a degree in statistics, maths, data analytics, or similar, and at least 3 years of relevant work experience to be considered for this rolestrong technical skills including strong familiarity with databases, data modelling, SQL, and analytics. Advanced Excel skills. Exposure to Alteryx is a bonus.the ability to concisely share your data insights in both the spoken and written formproven ability to work across all levels of stakeholders and build relationships quicklystrong analytical and problem solving skillsprevious experience within Finance and/or product knowledge of financial instruments would be highly regarded, but is not mandatory.an understanding of Enterprise Data Management and data quality concepts would be desirable This is a great opportunity for a Data Analyst to join the team to deliver on a significant book of work that is crucial to the Group. In addition, the role will reward someone who can use their initiative to help drive maturity into the reporting functionality and deliver improvements within that space.  The Financial Management Group provides financial, tax and treasury services to all areas of Macquarie. The group is focused on providing strategic analysis and advice to Macquarie's businesses and senior management, managing Macquarie's funding, liquidity and capital position, ensuring Macquarie continues to meet regulatory and compliance obligations and managing Macquarie's corporate communications and investor relations.  Find out more about Macquarie careers at www.macquarie.com/careers  Macquarie understands the importance of diversity and inclusion - our long history of success has come from being different. At Macquarie we value the innovation and creativity that diversity of thought brings. The one thing we all have in common is our focus on high performance. If you're capable, motivated and can deliver, we want you on our team.  We facilitate a range of flexible working arrangements within our teams. Talk to us about what flexibility may be available.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=228895&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8ce33f0d&cb=1516666741925&jobListingId=2571058953
Graduate Environmental Scientist / Occupational Hygienist, AECOM, – Newcastle, 13 days ago,"Business Line Graduates / Interns Position Title Graduate Environmental Scientist / Occupational Hygienist  Australia - New South Wales  Newcastle Job SummaryMake Amazing Happen! An outstanding opportunity to join a Global Leader awaits a passionate and goal oriented Graduate. We are seeking enthusiastic, customer focussed graduates to support our business deliver excellence to our clients. You will have the opportunity to work on signature projects whilst continuing to grow and develop your knowledge in your chosen field.  Our Compliance Services team is seeking an enthusiastic graduate who is interested in developing their skills particularly in the Occupational Hygiene area. We are looking for an agile individual who loves problem solving and has an excellent approach to client/customer service. As part of an international, multi-disciplinary organisation, you will have the opportunity to work on a range of projects. Your Development Our Growing Professional Skills (GPS) graduate program is designed to help you bridge the gap between formal education and the workplace. The GPS program is spread across three years and comprises a range of core competencies and recommended training. As part of the program, we work with you to develop a plan, outlining your goals and required actions, and provide training that will be reviewed every six months.  Along with local site visits, technical seminars, and internal and external training, AECOM connects you with local and global teams to source knowledge and experience, which creates an invaluable network that helps you learn, grow, and develop your professional skills.  As an added incentive, your involvement in the GPS program is fully endorsed for those seeking Professional accreditation. If you decide to do additional study, we will help you examine your options and identify particular fields of specialisation to support your career. Minimum RequirementsKey ResponsibilitiesAssist team and project managers by developing good working relationships with clients during the delivery of projectsDevelop good relations with your team and other teams across multiple business areas and locationsUndertake internal training and work towards accreditation relevant to your professionUndertaking field work including inspections and surveys and reporting on data collectedPreferred QualificationsTertiary qualification in Environmental Science or related fieldA genuine interest in the occupational hygiene area and developing your skills further0-2 years' experienceExcellent written and verbal communication skillsDemonstrated time management and organisational skillsA strong sense of commitment, a willingness to learn, and a desire to work in a dynamic deadline drive environmentQuality and productivity in execution of duties and responsibilities as outlined aboveFlexibility & an ability to work away on site and interstate occasionallyBenefits at AECOM The Workplace Gender Equality Agency (WGEA) recognises AECOM as taking a sophisticated, holistic approach to supporting women and men's participation throughout our workplace.  We provide a diverse and inclusive work environment and offer many benefits to ensure your professional development & wellbeing. Flexible start and finish times, working from home, part time and job share options;State of the art, modern and contemporary offices;Paid parental and partner leave;Purchased additional annual leave + salary packaging;Corporate Employee discounts from up to 400 retailers;Wellbeing benefits eg. Vaccinations, health insurance discounts;Employee stock purchase plans;Study assistance;Professional and technical development opportunitiesWhat We Offer AECOM is a place where you can put your innovative thinking and business skills into high gear and work alongside other highly intelligent and motivated people. It's a place where you can apply your skills to some of the world's most challenging, interesting, and meaningful projects worldwide. It's a place that values the diversity of our areas of practice and our people. It's what makes AECOM a great place to work and grow. AECOM is an Equal Opportunity Employer. NOTICE TO THIRD PARTY AGENCIES: Please note that AECOM does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Recruitment Fee Agreement, AECOM will not consider or agree to payment of any referral compensation or recruiter fee. In the event a recruiter or agency submits a resume or candidate without a previously signed agreement, AECOM explicitly reserves the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of AECOM.Job CategorySciencesCountryAustraliaPosition StatusFull-TimeRequisition/Vacancy No.176175BR",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=215939&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c43df833&cb=1516666741926&jobListingId=2631228983
